,movieid,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1
22,74,128632.0,2684.0,2811.0,116887.0,2229.0,2592.0,2658.0,2895.0,120635.0,2438.0,2213.0,1901.0,1787.0,2277.0,2484.0,2547.0,2224.0,1915.0,1577.0,127098.0
23,82,89607.0,3995.0,2845.0,118466.0,3376.0,3828.0,4134.0,3321.0,126548.0,3278.0,1578.0,3220.0,2251.0,3277.0,128488.0,2277.0,1557.0,1630.0,1851.0,129428.0
24,87,128922.0,69720.0,2230.0,120835.0,2063.0,1903.0,2222.0,1652.0,1871.0,859.0,1820.0,2030.0,1796.0,1787.0,1534.0,128952.0,1782.0,1557.0,1319.0,120132.0
25,88,26340.0,55223.0,83590.0,7403.0,107436.0,3297.0,3383.0,3009.0,2254.0,119948.0,2601.0,2484.0,2319.0,3293.0,129397.0,2235.0,2909.0,129445.0,814.0,130069.0
26,86,82173.0,75947.0,4230.0,129056.0,3381.0,3762.0,3346.0,2484.0,121111.0,1630.0,3131.0,3293.0,3460.0,3687.0,2584.0,128592.0,2129.0,2601.0,1705.0,129659.0
27,90,46367.0,8120.0,2030.0,114250.0,1558.0,1867.0,1630.0,1567.0,112725.0,1685.0,1160.0,395.0,1877.0,1739.0,1557.0,110372.0,1628.0,1553.0,1349.0,118696.0
28,80154,,,,,,,,,,,,,,,,,,,,
29,80179,,,,,,,,,,,,,,,,,,,,
30,98,121113.0,983.0,1065.0,112897.0,690.0,739.0,770.0,796.0,115210.0,729.0,404.0,655.0,395.0,620.0,657.0,108.0,403.0,584.0,133.0,114455.0
31,101,130578.0,5920.0,5533.0,129397.0,4309.0,5330.0,5411.0,4257.0,129032.0,3541.0,1815.0,3332.0,1706.0,1765.0,4071.0,5257.0,3455.0,3312.0,1709.0,128952.0
32,99,115881.0,2274.0,2679.0,115617.0,2224.0,1720.0,2489.0,2217.0,111235.0,2258.0,607.0,1705.0,1557.0,1636.0,1915.0,1698.0,2213.0,1716.0,2222.0,119155.0
33,102,73759.0,3486.0,1819.0,128922.0,2658.0,3458.0,2584.0,2684.0,119068.0,1743.0,2229.0,2547.0,2063.0,3323.0,128952.0,1578.0,2343.0,878.0,134.0,129445.0
34,106,115149.0,749.0,739.0,106438.0,768.0,738.0,721.0,690.0,109487.0,143.0,460.0,713.0,591.0,108.0,409.0,219.0,310.0,142.0,139.0,90239.0
35,109,1126.0,848.0,600.0,220.0,146.0,132.0,134.0,54272.0,55245.0,42.0,13.0,129.0,88.0,45.0,71.0,130.0,50872.0,89.0,69.0,53996.0
36,107,31487.0,72552.0,73914.0,3407.0,2910.0,2592.0,127630.0,3236.0,120282.0,1851.0,2343.0,2698.0,2576.0,1738.0,2254.0,128592.0,3080.0,1630.0,1830.0,129011.0
37,110,115065.0,86066.0,27657.0,26401.0,25747.0,26214.0,130970.0,26227.0,130512.0,7145.0,1738.0,6929.0,8394.0,1781.0,25907.0,130978.0,25745.0,6501.0,5904.0,130087.0
38,113,128952.0,2811.0,2235.0,110603.0,2438.0,2684.0,1796.0,1843.0,123947.0,2258.0,2127.0,1714.0,1886.0,1901.0,604.0,1742.0,1630.0,1577.0,625.0,119567.0
39,114,7134.0,1141.0,651.0,118702.0,791.0,757.0,894.0,729.0,115231.0,721.0,739.0,629.0,758.0,286.0,123947.0,771.0,655.0,33.0,51.0,117881.0
40,117,27871.0,6224.0,2823.0,114692.0,2224.0,2684.0,1738.0,1109.0,118354.0,1122.0,1765.0,2270.0,2547.0,2258.0,2229.0,128671.0,1685.0,1705.0,1158.0,117480.0
41,118,116907.0,2591.0,2636.0,114392.0,2039.0,2235.0,1578.0,2547.0,117867.0,2602.0,1796.0,1705.0,1773.0,1630.0,975.0,1158.0,51.0,130.0,1692.0,128592.0
42,128,50066.0,871.0,636.0,108932.0,795.0,814.0,1040.0,821.0,106438.0,629.0,310.0,634.0,404.0,624.0,110372.0,658.0,816.0,657.0,33.0,115569.0
43,130,36276.0,5796.0,4191.0,304.0,220.0,192.0,91630.0,325.0,90866.0,146.0,115.0,129.0,142.0,118.0,53.0,103228.0,84.0,244.0,143.0,104841.0
44,134,31162.0,174.0,65.0,88163.0,148.0,135.0,89.0,61.0,91126.0,12.0,146.0,63.0,8.0,56.0,81782.0,24.0,37.0,20.0,27.0,109374.0
45,136,7958.0,2213.0,1140.0,112421.0,1878.0,1558.0,1538.0,1787.0,112183.0,1796.0,560.0,33.0,843.0,773.0,117176.0,109.0,1109.0,1561.0,814.0,104072.0
46,144,129447.0,3485.0,3191.0,115881.0,3227.0,2623.0,2584.0,2213.0,125958.0,2547.0,395.0,2601.0,1578.0,1462.0,1630.0,2235.0,983.0,1765.0,1155.0,129285.0
47,143,2142.0,210.0,4.0,53125.0,129.0,191.0,130.0,92.0,45517.0,76.0,63.0,66.0,109.0,192.0,40010.0,106.0,9.0,24.0,69.0,58559.0
48,150,71865.0,64548.0,33956.0,7363.0,6693.0,4762.0,129447.0,5757.0,130642.0,1709.0,3278.0,6501.0,1815.0,3583.0,1774.0,130081.0,5070.0,2251.0,1764.0,130512.0
49,153,69906.0,46910.0,26008.0,129818.0,8394.0,7296.0,6504.0,3383.0,130328.0,1815.0,4075.0,6501.0,3856.0,3297.0,3234.0,129451.0,1738.0,5877.0,3278.0,130842.0
50,157,81041.0,78655.0,44153.0,3779.0,3383.0,2230.0,129401.0,2811.0,127152.0,1122.0,3297.0,2760.0,2229.0,1319.0,2895.0,126575.0,977.0,1443.0,1830.0,128852.0
51,163,6079.0,3332.0,4882.0,128848.0,3779.0,4075.0,5814.0,977.0,129451.0,3383.0,4309.0,2698.0,3277.0,3381.0,6496.0,3297.0,3164.0,3191.0,130804.0,128592.0
52,168,111680.0,5751.0,1710.0,128922.0,5132.0,5579.0,3460.0,2438.0,128167.0,3164.0,604.0,3558.0,2229.0,3297.0,129937.0,2489.0,1141.0,1915.0,1319.0,118814.0
53,170,113103.0,6007.0,109.0,129401.0,5711.0,5934.0,5623.0,5626.0,130466.0,2698.0,2217.0,3332.0,2980.0,1705.0,129445.0,5403.0,2508.0,4309.0,2319.0,127096.0
54,169,113071.0,65665.0,2588.0,128922.0,2274.0,1852.0,3236.0,2680.0,118890.0,2603.0,1628.0,1782.0,1319.0,859.0,1787.0,128952.0,2224.0,2909.0,2217.0,130490.0
55,178,105211.0,8425.0,2214.0,128922.0,1467.0,1636.0,1443.0,1118.0,118985.0,1155.0,1145.0,1122.0,1528.0,560.0,1157.0,128952.0,1420.0,109.0,1158.0,115881.0
56,179,125916.0,3172.0,3346.0,116138.0,2934.0,1319.0,2954.0,2489.0,122940.0,3009.0,1106.0,1158.0,1443.0,115.0,2760.0,109.0,598.0,1122.0,1110.0,129445.0
57,188,64652.0,27213.0,26470.0,3332.0,3131.0,1851.0,117920.0,3136.0,128914.0,604.0,2480.0,2588.0,1724.0,1743.0,2484.0,129358.0,1714.0,2909.0,859.0,129445.0
58,193,81733.0,32250.0,31960.0,6501.0,3376.0,4906.0,128952.0,4315.0,114875.0,2508.0,977.0,2484.0,1776.0,3647.0,2277.0,130490.0,2564.0,3297.0,3080.0,129445.0
59,194,26730.0,6085.0,1765.0,129555.0,4891.0,6004.0,3647.0,3890.0,128852.0,3381.0,3131.0,1830.0,3332.0,2601.0,128952.0,3080.0,3828.0,3136.0,1742.0,129397.0
60,82045,,,,,,,,,,,,,,,,,,,,
61,195,129428.0,3485.0,3828.0,125970.0,2742.0,3383.0,3170.0,2601.0,129030.0,134.0,2229.0,1851.0,2213.0,3297.0,2547.0,2224.0,1319.0,2319.0,1705.0,130746.0
62,198,130578.0,6489.0,6697.0,129013.0,6007.0,6018.0,5271.0,5811.0,126599.0,6543.0,3332.0,5623.0,4906.0,4891.0,1578.0,4882.0,3080.0,3750.0,2217.0,129445.0
63,197,71108.0,1714.0,545.0,108932.0,1575.0,1555.0,1720.0,1623.0,116823.0,109.0,1557.0,397.0,1448.0,1443.0,110553.0,598.0,1122.0,1467.0,115.0,115828.0
64,200,118930.0,1349.0,1165.0,107141.0,1308.0,1160.0,825.0,1115.0,115569.0,937.0,1067.0,56.0,958.0,925.0,643.0,727.0,974.0,983.0,37.0,114935.0
65,207,127441.0,4455.0,3541.0,121035.0,2584.0,3383.0,3346.0,1915.0,128632.0,1557.0,2230.0,2222.0,3164.0,2229.0,2588.0,3297.0,109.0,2224.0,134.0,130328.0
66,210,77233.0,1705.0,1443.0,119567.0,1156.0,1886.0,1765.0,1716.0,115881.0,1724.0,560.0,143.0,1723.0,825.0,127098.0,1532.0,1714.0,1319.0,1628.0,128944.0
67,212,69275.0,2845.0,2127.0,115240.0,2623.0,2503.0,2512.0,2209.0,120132.0,2223.0,1652.0,1557.0,1122.0,2157.0,117885.0,2256.0,1386.0,1443.0,109.0,119068.0
68,217,26797.0,2235.0,1443.0,119068.0,2223.0,1543.0,1773.0,1159.0,128673.0,1470.0,1555.0,1145.0,1360.0,1071.0,121477.0,1156.0,1122.0,655.0,989.0,130746.0
69,227,26806.0,2909.0,3995.0,127323.0,3383.0,3575.0,4172.0,3762.0,128952.0,3410.0,1577.0,3321.0,2274.0,2213.0,117109.0,4150.0,3297.0,2217.0,2129.0,128922.0
70,230,106111.0,102747.0,67354.0,50550.0,4269.0,5330.0,6766.0,129013.0,130328.0,2623.0,1462.0,3191.0,5067.0,1122.0,3647.0,5533.0,128167.0,1319.0,1578.0,129659.0
71,232,78278.0,65304.0,49759.0,8139.0,3237.0,3583.0,3779.0,118706.0,128723.0,2484.0,3085.0,1738.0,1830.0,3381.0,2438.0,3297.0,118105.0,2547.0,814.0,129013.0
72,235,129447.0,6697.0,5877.0,130642.0,3828.0,6489.0,4904.0,5676.0,130578.0,3193.0,1738.0,3750.0,4882.0,5330.0,2217.0,1578.0,3856.0,5257.0,3227.0,129285.0
73,238,54094.0,60046.0,88954.0,8846.0,105731.0,1787.0,2226.0,2274.0,134.0,126430.0,1319.0,115.0,560.0,1156.0,112469.0,878.0,1122.0,128952.0,1110.0,129445.0
74,241,70048.0,42900.0,6064.0,1743.0,1443.0,1319.0,116161.0,1158.0,119139.0,109.0,115.0,1159.0,134.0,977.0,607.0,119155.0,143.0,1107.0,560.0,129445.0
75,240,124867.0,2503.0,1795.0,129011.0,1893.0,2258.0,1534.0,1716.0,128854.0,1553.0,1122.0,1443.0,2480.0,1692.0,1386.0,1109.0,560.0,1319.0,655.0,127319.0
76,243,27905.0,27002.0,26257.0,4663.0,972.0,1039.0,1121.0,116136.0,112370.0,961.0,109.0,887.0,607.0,115.0,395.0,579.0,118760.0,399.0,51.0,117192.0
77,248,5892.0,3315.0,887.0,128679.0,1915.0,3297.0,1765.0,2909.0,128952.0,33.0,1743.0,1443.0,2229.0,1842.0,118985.0,1776.0,109.0,2213.0,975.0,129445.0
78,249,67361.0,3589.0,2547.0,117887.0,3280.0,3085.0,2592.0,2438.0,117873.0,1448.0,1815.0,1776.0,2319.0,2229.0,130069.0,2909.0,1765.0,1155.0,1443.0,126584.0
79,251,27338.0,1575.0,109.0,116136.0,1467.0,1567.0,1106.0,1424.0,114007.0,1555.0,579.0,975.0,1538.0,545.0,114847.0,37.0,1349.0,1156.0,983.0,129445.0
80,250,76272.0,5766.0,1872.0,121099.0,1795.0,1714.0,1156.0,1534.0,128679.0,1319.0,1110.0,109.0,1443.0,1575.0,1557.0,124273.0,560.0,975.0,977.0,130746.0
81,255,103137.0,2603.0,51.0,111622.0,2218.0,2175.0,1843.0,2198.0,118930.0,1555.0,887.0,1579.0,1720.0,1319.0,110295.0,1557.0,1776.0,1930.0,395.0,118890.0
82,254,119145.0,2850.0,2602.0,118898.0,1815.0,2172.0,2503.0,1742.0,114552.0,1471.0,1115.0,625.0,1852.0,1705.0,1718.0,1538.0,1319.0,1579.0,1467.0,111443.0
83,259,26730.0,5091.0,2254.0,128952.0,3410.0,3381.0,4171.0,3828.0,128922.0,4172.0,1915.0,1886.0,3369.0,2235.0,129397.0,3995.0,395.0,2910.0,1852.0,130746.0
84,263,71178.0,7414.0,7321.0,2251.0,2213.0,1553.0,115231.0,1807.0,117867.0,1817.0,1424.0,1524.0,1462.0,1107.0,1139.0,118985.0,819.0,1820.0,1532.0,118896.0
85,262,87205.0,2547.0,1819.0,129397.0,2698.0,2438.0,2235.0,2484.0,129354.0,1462.0,1558.0,2258.0,1577.0,1851.0,129913.0,1714.0,51.0,2230.0,1787.0,130490.0
86,267,77966.0,3541.0,1819.0,128952.0,3337.0,3228.0,2484.0,2547.0,125950.0,2222.0,1723.0,395.0,2508.0,3009.0,129354.0,403.0,1787.0,2224.0,2129.0,129445.0
87,270,51357.0,2213.0,2061.0,117590.0,2127.0,1843.0,2129.0,1852.0,114795.0,1908.0,1553.0,1140.0,1139.0,1319.0,119145.0,143.0,1115.0,815.0,1165.0,128520.0
88,278,128914.0,3131.0,3170.0,121159.0,1400.0,1852.0,1743.0,3085.0,118924.0,1705.0,395.0,983.0,1720.0,1360.0,1579.0,975.0,1157.0,2547.0,1155.0,129013.0
89,283,32316.0,27731.0,1878.0,115122.0,1650.0,1819.0,1557.0,395.0,112183.0,1782.0,33.0,579.0,1720.0,859.0,1159.0,109420.0,1473.0,591.0,51.0,119145.0
90,392,27800.0,25874.0,1843.0,113348.0,1768.0,1807.0,1718.0,887.0,106002.0,134.0,1632.0,1567.0,1716.0,1577.0,1724.0,115149.0,1557.0,975.0,395.0,119141.0
91,282,128922.0,114723.0,81396.0,76171.0,6381.0,3376.0,6693.0,128944.0,130069.0,3407.0,3589.0,2980.0,2217.0,3332.0,4230.0,6085.0,118706.0,4348.0,1742.0,130746.0
92,284,4008.0,4623.0,4728.0,3259.0,5139.0,584.0,409.0,572.0,51.0,45447.0,398.0,109.0,449.0,558.0,51084.0,137.0,388.0,56367.0,406.0,49824.0
93,291,117107.0,2175.0,1849.0,128914.0,1423.0,1773.0,1557.0,1555.0,115680.0,2030.0,607.0,1156.0,1579.0,1165.0,1115.0,130.0,1143.0,825.0,1319.0,129445.0
94,292,84276.0,8708.0,1764.0,130328.0,7452.0,7350.0,6501.0,6833.0,129011.0,1774.0,3297.0,3321.0,6712.0,7145.0,129358.0,5616.0,5934.0,6489.0,3193.0,128914.0
95,293,95491.0,7452.0,3828.0,129707.0,5877.0,6767.0,5950.0,6766.0,128425.0,3332.0,3381.0,4762.0,5271.0,2217.0,129935.0,4075.0,3321.0,5757.0,3583.0,131013.0
96,298,27112.0,2246.0,1471.0,115210.0,1750.0,2172.0,1720.0,1832.0,109927.0,1052.0,1528.0,979.0,1768.0,1368.0,119139.0,1525.0,1532.0,1579.0,1433.0,114122.0
97,300,89021.0,68214.0,7738.0,130642.0,7452.0,7145.0,6941.0,3828.0,129555.0,6675.0,5849.0,1141.0,4456.0,5330.0,3332.0,129056.0,1789.0,2547.0,2217.0,130328.0
98,301,117867.0,2220.0,2235.0,110968.0,1905.0,2127.0,1842.0,2215.0,115240.0,977.0,1662.0,1832.0,545.0,1102.0,1473.0,1156.0,1155.0,1368.0,51.0,123947.0
99,307,87608.0,1141.0,4762.0,121255.0,3460.0,3647.0,2489.0,1400.0,128960.0,1765.0,3237.0,3321.0,1852.0,2592.0,130496.0,1710.0,2251.0,1843.0,1578.0,128542.0
100,305,95816.0,3890.0,1424.0,129659.0,3383.0,3762.0,2229.0,2680.0,129285.0,3236.0,975.0,1852.0,1830.0,1557.0,130073.0,2213.0,2489.0,2484.0,1462.0,127441.0
101,315,82302.0,81669.0,6393.0,129445.0,4457.0,6292.0,3297.0,2698.0,128952.0,3220.0,3383.0,4059.0,1710.0,2680.0,3332.0,129659.0,3227.0,2623.0,2229.0,130804.0
102,314,71484.0,62157.0,4449.0,121113.0,3828.0,4134.0,3369.0,1157.0,129056.0,4057.0,3084.0,1765.0,4101.0,1557.0,643.0,125950.0,3352.0,1787.0,1155.0,128320.0
103,316,92427.0,85686.0,25871.0,128914.0,25748.0,25787.0,6766.0,3856.0,129937.0,7567.0,7296.0,5676.0,3381.0,7816.0,6491.0,130642.0,1815.0,5402.0,3277.0,130804.0
104,328,81725.0,2466.0,1852.0,128922.0,2588.0,2229.0,2909.0,2543.0,121126.0,607.0,1714.0,1443.0,1557.0,878.0,129358.0,2679.0,2564.0,1796.0,1122.0,127296.0
105,331,61361.0,39529.0,33675.0,2703.0,1555.0,2603.0,113604.0,2332.0,115381.0,1467.0,655.0,115.0,1157.0,1155.0,560.0,108780.0,1773.0,1557.0,1109.0,112316.0
106,334,26717.0,403.0,3336.0,127098.0,3332.0,2909.0,2845.0,1915.0,114033.0,2277.0,3321.0,1852.0,2274.0,1705.0,123121.0,3187.0,1400.0,2319.0,1110.0,114670.0
107,339,82068.0,74446.0,5811.0,130328.0,5371.0,5261.0,3237.0,3647.0,128952.0,3191.0,3297.0,1738.0,3383.0,4309.0,2980.0,129348.0,1578.0,3193.0,2484.0,130069.0
108,347,42584.0,4861.0,1443.0,126426.0,4763.0,3337.0,2957.0,3369.0,118880.0,2811.0,3891.0,3647.0,2235.0,1524.0,128542.0,1819.0,1723.0,3234.0,134.0,118972.0
109,346,117123.0,105869.0,71810.0,58485.0,1698.0,3187.0,3407.0,655.0,114760.0,1052.0,1141.0,812.0,2222.0,1738.0,843.0,2319.0,121227.0,1553.0,699.0,124859.0
110,352,128592.0,3888.0,3891.0,128952.0,4230.0,3407.0,3231.0,2658.0,116841.0,2910.0,2226.0,3369.0,395.0,2547.0,1109.0,3023.0,2343.0,1319.0,1443.0,118890.0
111,353,129451.0,6767.0,6694.0,129030.0,3278.0,6589.0,6282.0,6594.0,126094.0,4075.0,1781.0,2838.0,5320.0,3583.0,3750.0,4882.0,2980.0,6340.0,1443.0,130804.0
112,355,100032.0,63806.0,50349.0,26137.0,5934.0,5616.0,6340.0,129937.0,128173.0,2698.0,2588.0,3828.0,3332.0,1557.0,1815.0,2909.0,130466.0,2319.0,2229.0,130746.0
113,357,93376.0,89670.0,7823.0,129348.0,3277.0,5877.0,7409.0,6340.0,130504.0,1764.0,2217.0,2277.0,5320.0,1738.0,6393.0,130512.0,2619.0,5814.0,1709.0,130036.0
114,366,7950.0,2319.0,2480.0,127096.0,2466.0,2910.0,2909.0,2489.0,129011.0,1319.0,2508.0,1628.0,1819.0,1852.0,128914.0,403.0,1577.0,1705.0,1400.0,130642.0
115,378,62577.0,8092.0,3332.0,117867.0,2910.0,1915.0,3131.0,2213.0,117533.0,2198.0,2229.0,1819.0,2703.0,2658.0,1886.0,126430.0,1852.0,2895.0,134.0,128944.0
116,380,130842.0,5877.0,3856.0,130580.0,4075.0,3278.0,3411.0,3750.0,129405.0,5330.0,3381.0,4762.0,1830.0,3234.0,2277.0,3277.0,3297.0,3583.0,1708.0,129818.0
117,388,74818.0,1001.0,675.0,113278.0,873.0,744.0,825.0,768.0,113071.0,127.0,855.0,845.0,284.0,582.0,118924.0,286.0,226.0,758.0,51.0,114721.0
118,389,26514.0,1165.0,629.0,116161.0,1045.0,826.0,983.0,1062.0,115231.0,1106.0,757.0,816.0,620.0,395.0,114082.0,636.0,871.0,821.0,773.0,118900.0
119,390,120807.0,1724.0,1742.0,120132.0,1040.0,1467.0,1115.0,1146.0,126426.0,675.0,855.0,655.0,1443.0,1424.0,1045.0,399.0,607.0,895.0,109.0,118930.0
120,393,91935.0,2229.0,773.0,129358.0,1723.0,1782.0,1109.0,1141.0,128952.0,625.0,1443.0,134.0,560.0,699.0,128914.0,676.0,642.0,825.0,143.0,130642.0
121,394,57353.0,825.0,109.0,119145.0,773.0,560.0,642.0,644.0,119068.0,142.0,643.0,730.0,629.0,598.0,122104.0,37.0,395.0,607.0,143.0,115881.0
122,396,56775.0,27776.0,6818.0,2373.0,642.0,545.0,643.0,116397.0,114459.0,119.0,462.0,525.0,37.0,130.0,115.0,439.0,118924.0,143.0,109.0,119145.0
123,399,1680.0,642.0,243.0,27803.0,391.0,560.0,390.0,285.0,91542.0,324.0,115.0,37.0,166.0,142.0,69007.0,143.0,130.0,51.0,109.0,86882.0
124,403,1180.0,1412.0,556.0,334.0,92.0,245.0,267.0,79293.0,78469.0,53.0,205.0,126.0,77.0,155.0,98.0,74789.0,139.0,148.0,49.0,76251.0
125,402,111364.0,1630.0,1558.0,106841.0,1570.0,1554.0,1555.0,1524.0,109487.0,134.0,1538.0,1553.0,1159.0,652.0,974.0,1548.0,963.0,1156.0,1545.0,119141.0
126,407,98109.0,3059.0,1698.0,124859.0,2909.0,3023.0,1723.0,2811.0,127441.0,727.0,1145.0,2229.0,2684.0,1149.0,129397.0,676.0,2484.0,2319.0,651.0,130746.0
127,409,7188.0,868.0,790.0,128679.0,865.0,729.0,815.0,776.0,121227.0,37.0,143.0,675.0,530.0,284.0,113532.0,106.0,579.0,139.0,51.0,129445.0
128,420,92357.0,6282.0,5082.0,128975.0,4364.0,5676.0,6393.0,5757.0,129555.0,4882.0,1443.0,3297.0,4309.0,3278.0,129397.0,3383.0,3460.0,2229.0,3187.0,128520.0
129,421,86502.0,42794.0,36531.0,3294.0,3227.0,3085.0,128173.0,1787.0,119139.0,1524.0,2576.0,1143.0,2480.0,2631.0,2564.0,115877.0,1628.0,396.0,1462.0,128922.0
130,423,129445.0,5758.0,5623.0,127319.0,5229.0,4382.0,3890.0,5261.0,129397.0,2484.0,2601.0,3383.0,3297.0,727.0,1578.0,3779.0,1579.0,3995.0,3631.0,130642.0
131,429,77829.0,59478.0,27223.0,6916.0,1819.0,1720.0,2274.0,128632.0,128952.0,1787.0,1577.0,812.0,763.0,642.0,699.0,843.0,117434.0,777.0,143.0,129445.0
132,430,128846.0,2547.0,2444.0,121126.0,2157.0,1908.0,2274.0,2175.0,119068.0,1137.0,787.0,1433.0,139.0,822.0,1052.0,1714.0,1765.0,1159.0,884.0,115170.0
133,433,127098.0,82005.0,2274.0,114721.0,1714.0,1720.0,1561.0,134.0,128914.0,825.0,1557.0,977.0,1319.0,975.0,1107.0,128952.0,1443.0,1122.0,109.0,129445.0
134,435,96195.0,7639.0,3227.0,128632.0,5704.0,6622.0,6098.0,5194.0,129937.0,3904.0,3237.0,134.0,5576.0,2588.0,129401.0,4648.0,3084.0,3647.0,1709.0,130746.0
135,436,89997.0,8764.0,3460.0,128673.0,2319.0,3383.0,3332.0,3236.0,128914.0,2601.0,822.0,777.0,1723.0,821.0,843.0,129011.0,1915.0,2623.0,789.0,130746.0
136,437,1158.0,68901.0,8025.0,2258.0,1908.0,2222.0,128952.0,2213.0,128922.0,2229.0,143.0,109.0,977.0,1796.0,403.0,2230.0,1557.0,1692.0,118888.0,129445.0
137,439,6645.0,699.0,143.0,93790.0,406.0,462.0,285.0,643.0,106766.0,51.0,115.0,396.0,142.0,130.0,104243.0,284.0,642.0,37.0,109.0,115569.0
138,440,47736.0,8394.0,1830.0,130328.0,7233.0,7754.0,5320.0,6085.0,128914.0,6081.0,6489.0,3237.0,6393.0,2547.0,129555.0,1781.0,3193.0,3191.0,4882.0,129818.0
139,441,115172.0,97986.0,5252.0,129818.0,3237.0,1109.0,4648.0,843.0,130466.0,643.0,644.0,1443.0,1052.0,109.0,1155.0,130578.0,4456.0,4057.0,642.0,128318.0
