,movieid,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1
24,2628,5378,6365,47952,1210,111447,1196,127292,46530,5999,124867,5182,208,109713,113348,96200,120833,53370,61695,64999,6583
25,2629,58418,8748,6788,4246,109189,87059,49035,539,6155,91805,84557,102469,588,2417,45517,55255,87867,6531,93210,58
26,2633,116181,2092,88173,95875,596,25846,2123,2687,4016,86880,52724,43,709,86815,109000,78557,94192,57709,783,7826
27,2634,109359,99906,2637,81138,2149,4579,73488,61100,115518,105753,2006,78097,66854,95875,124657,85133,6857,47918,110116,105601
28,2635,588,6889,72737,1907,84637,783,364,2687,1282,709,69356,1,45517,121126,46530,87446,1566,69419,91974,4853
29,2637,2638,95167,86298,95875,104076,110765,51709,2634,124843,6659,82360,56015,588,76063,1566,5459,5829,129814,84637,26282
30,2638,86815,50641,1216,2637,47918,42,6546,5094,5985,5040,71878,77682,108156,120518,7320,131027,89848,92264,111632,842
31,2639,117752,80295,86815,94280,1216,5802,26707,26119,96849,88382,939,99539,82063,201,77899,3259,95705,111632,117551,3494
32,2640,2641,4990,95875,3821,112640,2643,101180,111659,46530,104076,59315,1216,6889,2642,4985,1566,45517,4822,102880,108156
33,2641,2643,2640,124867,103042,2642,95875,59315,104076,111659,46530,2123,1907,4016,112640,4990,4985,5944,2094,47384,70282
34,2642,2643,2641,2640,124867,103042,46530,4990,2399,95875,67197,4985,93520,3770,5892,52950,72601,3889,26630,1500,5182
35,2643,2641,124867,95875,103042,2642,1907,70282,46530,65682,111659,5182,4990,2640,1566,5459,83613,102880,86332,61970,4016
36,2644,96653,1340,2633,125155,95021,2941,26266,2648,104671,25819,86096,5981,7065,65027,2366,72109,83916,47054,7073,122302
37,2646,5094,6546,50641,46770,2657,25746,111632,2647,79166,880,47918,96294,939,1924,6152,55757,87869,6099,96131,5040
38,2647,95875,123024,2643,8830,2646,5182,96631,2649,6659,1591,1907,4016,71057,181,59315,329,51709,111659,102390,588
39,2648,116181,3196,25786,91709,79124,1340,51287,76089,7219,66369,63989,93865,2941,86316,2676,7826,2209,1940,6665,90114
40,2649,5221,112640,98162,8900,60941,99014,8812,2123,43899,8890,1547,81138,95875,84446,102880,88028,83337,89016,1340,6857
41,2651,2649,99014,117586,50923,104076,104392,60941,26448,96569,43899,52806,5985,87867,86316,78557,121735,5221,89016,8903,117572
42,2652,95875,102880,111659,51709,7900,2649,273,8830,124867,1340,121477,107137,105803,3770,115687,1970,48,2094,127068,70824
43,2653,1907,6889,4081,71878,104076,6154,86815,84637,1566,109199,364,93520,656,3259,76189,75940,8878,709,2687,5442
44,2654,5985,1547,121300,43899,88061,1006,89016,26448,96569,8900,73117,78557,99014,85440,100141,5945,60941,108046,8705,109359
45,2656,1907,95875,101989,83613,70336,6889,8830,588,2699,6659,783,87446,2687,1374,1282,45517,364,1566,6154,1409
46,2657,6546,89222,120928,47918,5094,93723,880,60106,8933,77240,50641,131027,46770,111632,2149,5040,4039,116600,95967,3199
47,2659,4515,94280,83310,96653,112275,4467,5653,69118,113632,4154,1579,130622,114072,121103,85910,7447,2968,5508,62662,114394
48,2660,8830,4658,95875,107232,6889,110181,1907,2288,93905,130784,51249,2687,1566,588,783,426,61970,5463,8878,3745
49,2661,87306,709,1376,107232,588,6889,1907,783,2687,112138,5927,1320,95875,69042,87197,3466,26489,3326,5181,3930
50,2662,879,57709,7001,131122,56801,111259,626,95875,101180,8693,111587,102070,52806,3857,115556,8781,59315,1200,98162,1006
51,2663,8878,109684,6996,3326,95875,63181,1907,103228,93610,99600,5356,101991,2407,1216,1978,26593,98239,126749,4939,112138
52,2664,426,8830,4990,71057,4153,7001,127015,99014,1591,2649,4658,58803,116487,1320,59154,3931,4822,96655,2947,6966
53,2668,4652,59154,93865,102125,1340,99014,1599,6277,95510,8727,130784,61970,8809,6913,85261,112772,1997,4695,259,26538
54,2669,102804,122100,5459,6808,82131,85770,4853,129937,786,115915,100062,4631,1726,26236,110968,87356,3895,108928,110119,3062
55,2670,6854,1118,55434,74342,91805,3089,4429,8673,117426,92025,26112,5107,66667,129522,101180,5953,80489,97884,4594,8789
56,2671,103052,109203,105529,115664,91169,84880,1701,106214,87975,77433,71416,69336,56908,108493,79029,116539,100036,6929,118458,2327
57,2672,95875,1006,115556,96655,99014,5692,104076,66352,126184,5221,52806,102125,130784,558,106210,88028,3895,459,114013,109359
58,2676,81788,78557,95875,76291,2123,1006,88419,57709,76089,626,82235,26448,60411,25970,101952,4631,83337,60941,66302,6838
59,2677,98059,6546,3680,7447,126150,50583,3045,4515,92027,88106,5094,81090,8933,112477,7287,4579,50641,8962,111632,71693
60,2679,103208,119214,93520,2340,1175,87197,5431,94955,45517,112911,4592,3711,51632,230,3391,4329,97073,2643,127857,71282
61,2681,5802,72344,85175,73117,7750,116539,44900,98217,78916,71688,64900,128578,8812,106214,2943,89592,78715,109359,86442,66352
62,2682,90424,230,2159,5051,82049,87260,86758,58373,25952,25788,70706,7287,71057,5293,78679,74731,3810,67197,85056,2190
63,2683,5481,59315,102125,4990,6582,1517,85261,82641,26724,1396,50923,4894,65682,110508,101182,70817,94018,4241,107462,103659
64,2686,79238,6546,5094,6272,7287,25952,8679,93952,60827,78196,90738,110449,44694,109489,86785,122254,43727,105945,104301,87785
65,2687,783,6889,1907,364,1566,2123,4016,588,48,709,1282,7374,97913,87446,595,45517,95875,362,1032,86298
66,2688,85770,4853,8781,426,2467,114436,4469,76063,3801,81138,628,5161,26101,74342,2912,87890,81562,5442,26388,52458
67,2689,8812,53406,96227,7752,2123,115460,88028,77353,84446,5485,72156,2476,1940,106214,111946,71444,82641,26101,86345,71688
68,2690,88028,80779,8900,5377,109359,108046,5761,85440,5221,8812,73117,6944,8689,96569,89016,116539,80570,64784,68653,2123
69,2691,101952,201,120928,129348,106214,2149,117572,116539,7447,95967,86815,109177,88106,4808,47918,57709,6546,80022,117855,58649
70,2692,230,117527,8748,131122,96227,88028,83158,6404,6209,626,59313,4764,26346,68244,26108,71688,81788,117586,86513,91805
71,2693,8962,99549,118462,4961,90899,102852,5932,106407,59366,110194,48626,1189,84770,119,78856,68012,103301,8663,26012,72692
72,2694,2123,96569,626,108156,59315,7346,8946,72159,101952,78557,109359,91805,2893,119,4539,113232,83337,104076,95875,4990
73,2695,83558,71688,1006,5985,88028,71444,82711,1547,26448,106214,100141,102213,65603,66352,86002,2649,117586,128546,116913,111946
74,2696,84799,5271,104076,26101,7639,126510,3004,86442,86298,96569,8812,102051,1940,106214,44195,108156,7752,6012,6194,110673
75,2697,112640,82902,86068,82271,6154,83337,1629,95600,79136,3259,105084,72340,5218,5106,108046,55245,5142,103671,6404,95705
76,2699,4016,1907,85770,104076,86298,45517,4128,121477,26314,2687,87197,111659,1566,6889,588,95875,1585,595,783,8848
77,2700,8917,4990,5106,85440,1031,73042,88572,79008,58324,59594,130520,117638,8705,8900,85403,111146,46948,108046,83337,81087
78,2701,588,8830,57041,45517,4990,1216,3213,26483,1580,95875,2687,3744,2123,85770,6889,3889,87232,2893,104076,1907
79,2702,3903,105709,5221,129068,7186,4853,5031,8541,25897,1881,6022,26237,111659,129857,98200,69136,26334,73117,115556,77240
80,2705,1579,5465,71285,86096,101904,843,93450,88094,98122,102997,103052,1259,72913,4712,3920,47274,81831,84302,82370,50658
81,2706,93831,47028,101415,80860,116724,3398,74426,108046,88181,79590,5465,87589,100161,5106,122851,60289,95105,91805,87867,64900
82,2707,7287,4579,116539,88593,88028,5094,47918,81142,80295,79929,115475,117752,4164,116770,6546,8679,8875,78342,4970,80779
83,2709,112640,4990,106214,80141,2123,83337,104076,99014,108046,8900,5106,50923,60941,3945,131250,53841,72344,60289,57709,3964
84,2710,101479,3973,110673,130050,128324,92192,89720,4645,112895,125644,104431,7412,79846,129855,61692,128985,50165,97988,112359,97188
85,2711,130964,60546,112640,82840,109359,54826,104406,99389,2276,55555,81138,110765,95600,84090,80779,73117,26028,5221,125569,3028
86,2712,2906,5221,89016,84252,121831,95875,82711,77682,89769,5350,6571,2753,60941,4631,71693,626,1749,5802,110673,8748
87,2713,112640,92106,108719,95875,102070,26724,2613,7846,986,105292,26123,5837,77364,3770,105837,5892,99014,80363,6929,119627
88,2714,83264,114261,1566,89554,73881,1216,5465,588,74450,8757,6404,86298,73117,90960,5664,2123,6529,1925,91749,1854
89,2716,2717,4990,5106,158,4162,26724,131122,45732,70305,4241,60289,8761,86785,57041,130520,4822,5892,2044,1526,107115
90,2717,2716,113348,56152,57041,8705,87975,91752,3799,46530,7316,2012,61401,6090,69722,120132,87105,4990,109173,107137,47868
91,2718,79254,4579,6546,53554,86815,72587,26119,3394,126150,6877,120518,99389,84983,86785,96337,80779,2149,939,104011,101350
92,2719,93952,879,2389,77798,99238,2550,85770,71135,4383,5311,52458,71573,454,78606,26107,4469,7521,84601,2097,6967
93,2720,1566,2687,2123,104076,6889,95875,86298,4016,97913,2053,709,588,364,111659,4990,1907,1588,181,63859,54278
94,2721,69729,73117,74649,129784,8705,126510,26448,104226,108156,64900,87059,8895,92182,26191,6546,53406,116487,78916,55245,98217
95,2722,88744,1306,60760,104561,1917,96200,103363,93709,86835,45981,6659,7163,48774,95748,4571,2527,127068,5552,73168,45499
96,2723,6546,5040,5094,86785,50641,3045,77896,126150,697,50583,87785,88065,7287,1658,1599,1621,77264,117752,8933,56931
97,2724,8812,7220,5485,91805,26101,111303,106214,8705,87047,86298,92106,2476,78916,131231,131250,26108,90561,117527,85691,1216
98,2725,53161,2943,127001,117527,90561,117586,6929,58452,110765,83264,6838,7061,129784,26707,71693,93939,6404,78916,119303,88028
99,2726,57709,48833,89848,26388,8679,60411,76056,78557,6506,348,106214,7040,1006,87975,108787,125271,129937,3761,84252,113707
100,2727,5094,25746,101799,90738,83232,86785,1071,5040,42,47918,2789,7774,92424,4579,2149,6546,80779,45531,86815,99744
101,2728,3035,1287,47918,47054,56607,86750,26334,72703,47239,8679,59465,104283,7583,4648,1232,1584,84523,127626,66655,1204
102,2729,43,109359,96569,106785,49035,80295,26346,1749,630,99744,60546,120102,73117,8518,26147,4631,64784,83232,6202,108046
103,2730,108046,75994,72283,88061,85440,26448,84446,8705,5611,78557,73117,5904,109000,6416,68976,45134,82641,8812,83337,60941
104,2731,4712,7136,2943,108342,6083,79972,1511,79473,112903,76776,82235,58381,43762,6911,7837,82068,112473,7135,79828,120621
105,2732,2943,2331,5802,82235,7942,6546,7808,86785,103052,8679,1216,116539,130626,60106,117930,110675,86550,697,98911,129348
106,2733,588,86298,73117,709,95875,6529,112640,104076,81744,1907,1566,7193,94900,6889,108156,2687,4886,6404,4016,52287
107,2734,114678,2297,49272,123553,65603,4122,74111,77896,5161,95875,107028,4631,47446,1118,5945,98162,4695,8647,7084,5867
108,2735,72263,120833,2949,100882,5459,85770,5692,4467,258,3672,8814,212,115460,2088,5493,26258,61707,76153,26236,95984
109,2736,88061,90960,73117,1216,5465,59922,84775,84446,8757,106214,80924,1117,43,915,6838,130622,118166,93939,79929,26194
110,2737,117752,82235,86785,117572,108499,86815,2943,4631,82631,129348,7942,5040,86550,50641,108775,6155,98797,126510,129432,5802
111,2738,58452,111329,109359,115556,81548,120132,112640,84775,64784,108156,131122,73117,99539,72692,108046,91786,7316,5223,63329,3565
112,2739,79230,88810,25910,3069,2154,25907,106336,109199,113073,86815,86277,26698,99043,4469,56607,4808,66337,78574,82680,92188
113,2741,70064,59947,544,6560,57873,67070,3165,70361,95064,69381,98022,82744,4853,259,4889,110503,98847,111946,6812,90738
114,2743,73240,82840,108046,104406,80295,536,88518,81138,88028,2711,6944,88061,84799,26519,45134,99389,50923,83337,2276,92399
115,2744,99560,6144,91904,1006,69448,114565,63273,114394,78957,6354,2472,94419,119129,4552,87420,87057,88028,65621,2209,76173
116,2745,1216,92096,26724,95875,4990,5386,86298,4467,4853,6889,2123,114552,45517,98755,112640,89774,101640,97709,106064,118696
117,2746,88339,8705,80295,78557,69748,78097,5335,4184,76238,89112,91805,116487,90866,81142,7475,71404,4403,5863,109359,110765
118,2747,2852,4750,6624,8669,118814,95441,57692,80831,96423,87867,80295,87264,539,110968,7323,116947,1580,86298,129370,113378
119,2748,66352,96227,60941,88061,95510,76238,85770,7308,106460,459,2123,2649,1216,88028,99014,106214,130578,102804,95875,102125
120,2749,422,7703,83158,2945,96401,68244,95705,95600,129784,97688,88991,94969,117586,6940,126510,81788,6570,26346,2906,88382
121,2750,3045,106214,92424,112477,45531,6481,6546,126150,6310,94833,47918,89222,101799,8933,80779,129348,939,88106,2975,7456
122,2752,87761,6546,5802,55343,5170,116539,108046,2440,108156,90738,5985,117752,47918,128534,91179,89222,88065,101799,88028,119563
123,2753,2906,71693,117527,110535,124657,1749,89769,80295,84252,88028,53161,95600,95875,1940,107445,950,117586,131250,60941,115998
124,2755,70661,112381,82767,230,73240,635,128534,82840,71688,85007,6928,98217,97823,5408,86513,66389,94280,89678,88028,53133
125,2756,4441,127264,129775,111946,90738,6354,99857,7475,3672,96227,110169,6580,108046,58452,76291,130562,121300,109850,6531,107462
126,2757,114394,131122,2943,53133,95705,109203,86815,82235,26059,86785,86096,109173,88382,129305,98217,117997,70661,26346,4631,2565
127,2759,5465,26707,72109,122861,8709,93914,94280,46912,5170,5904,113216,6740,1526,90960,6230,8713,61707,69448,73117,104226
128,2761,4990,85261,2687,111659,71057,64652,783,1907,5882,114552,6889,2123,70282,4090,588,631,1566,2800,45517,130520
129,2762,66352,2123,109359,81138,110673,8812,121451,2476,60941,1150,90866,118274,1547,130034,127262,47274,3187,106214,96227,65660
130,2763,91805,1566,588,8694,8748,3326,1216,4764,6154,114552,83264,6308,103883,3466,7004,6889,145,45517,95875,626
131,2764,8705,6531,1749,71693,88061,8584,1940,98067,83337,81784,114945,119303,83345,53416,6506,4889,73590,53161,84446,127001
132,2765,91169,119605,2785,8532,7355,71748,71867,117133,8898,6354,26611,92424,5653,8748,69118,1884,26362,131084,56607,53406
133,2766,106214,82641,108156,111946,88672,6546,126184,129348,3045,5985,76238,5094,82063,4579,112477,88028,5221,950,121451,73150
134,2767,3035,1749,120132,114017,121485,84637,93733,4990,109199,906,110503,1360,78170,5120,121451,1006,25937,99906,2467,121650
135,2769,88028,88129,4889,66302,78557,106064,116429,96227,58494,7204,95705,8505,60941,4441,1523,91766,109850,91981,85861,47793
136,2770,104039,110116,119196,118274,6310,85369,4579,96569,65277,26101,88028,26236,5831,101642,5292,5573,63859,106214,8705,4570
137,2771,95875,83264,81562,3895,89774,109359,84238,89554,2123,1566,96302,108046,108156,104076,130682,97988,26074,114552,26101,1216
138,2772,5106,7316,25959,564,8962,1220,2384,69748,99371,89883,6582,7163,71404,7034,7738,117358,1031,6156,127323,4777
139,2777,117752,60827,8875,8679,26435,6546,116600,126588,5985,80779,1071,25890,7287,85861,123,47918,79929,77896,26119,108046
140,2779,8705,8812,108046,88028,2123,3895,78557,5161,73117,26435,25870,8541,57709,5221,96569,5945,1216,121735,86316,109359
141,2780,104076,2149,2785,109199,8878,5927,1353,4403,116397,119563,47918,7355,7719,4138,58299,3035,129337,92120,113499,952
142,2781,1214,60941,110824,112640,84090,97673,75362,107771,8705,81398,90345,4758,626,79838,129348,2782,83337,6695,63329,5966
143,2782,95705,126510,5802,5221,53133,8741,73117,130066,82235,88028,98797,5071,8705,26346,77682,99314,89016,78715,116429,626
144,2784,118524,76063,95875,2123,2687,87446,1216,259,6889,85770,102340,80924,4658,98400,73117,5804,8941,3481,4631,92422
145,2785,80295,77682,8766,84983,79929,112477,4579,4164,117752,120518,80779,88593,5120,119950,2149,80405,76238,47918,45656,88106
146,2786,71688,88061,84446,108046,88028,106214,65660,2123,1547,8705,4933,81398,111946,128622,81142,7752,96569,71444,635,128534
147,2787,120518,60106,6546,96131,67784,50641,80295,1587,112477,47918,117752,7808,2149,89774,111632,119440,88672,201,94280,6259
148,2788,6807,1080,1136,6104,83777,94280,124050,65738,3022,102070,119929,83264,131070,112913,79824,79539,74115,72109,84312,120120
149,2789,5985,101952,47918,2149,5094,1216,77240,88672,4579,89222,89774,108156,111632,5040,113370,88593,1006,131027,84983,111329
150,2790,5985,129348,79929,87975,96131,50641,108953,112477,80779,7287,5094,105945,5170,5966,94018,87785,96227,117930,126588,6582
151,2791,117527,110535,8812,7220,53161,339,2943,915,95705,58452,8705,97823,93467,5729,117586,88028,6318,25890,82235,73117
152,2792,5459,110508,89774,113348,91169,89554,96281,1396,5767,26724,113889,44582,79547,81671,70361,4023,107462,4368,87264,6311
153,2793,58452,5837,104233,100161,5909,114552,72344,115556,8694,6929,110169,7930,121463,67298,86725,2476,122861,128578,7191,110447
154,2794,97913,588,1907,1566,112138,45517,564,86298,6889,2795,8694,84637,58509,91805,3326,87867,1216,59333,6523,4592
155,2795,564,4990,8834,588,112640,2687,8694,101142,78461,98217,87,105884,6889,26448,90561,626,102469,45517,239,8946
156,2796,47918,8933,120518,129348,88065,117752,3045,6481,125,108156,3035,7639,73826,26435,50641,6546,116539,108427,69195,4808
157,2797,4023,5106,78557,2123,1767,6033,55245,107115,3306,5966,2053,8705,107157,106214,69722,74129,47793,108046,78703,6318
158,2798,106214,99389,80779,101952,2149,84880,4579,117572,117752,131250,60827,108156,87527,3626,86785,86345,109177,88065,88382,6012
159,2799,2798,6529,85007,4361,53161,8812,5985,53406,107863,6344,3259,94900,65465,112477,102517,4783,86298,94280,6929,55245
160,2800,2687,588,6889,95875,2123,4990,1566,104076,558,90866,97913,4016,1907,4090,87446,8946,783,52806,76093,111659
161,2801,68653,55245,86671,6529,1216,26346,1286,4259,4631,87356,73117,79525,3259,82711,115166,91805,7708,3379,3968,84252
162,2802,259,5106,108046,70817,117478,112640,8900,8705,3505,101640,114261,4613,5473,6012,83337,59315,1749,4608,60941,5521
163,2803,1216,106214,103883,90960,111303,6838,88028,4521,8705,85770,1841,5671,80295,26101,68959,6681,60231,95705,118274,129937
164,2804,80924,87446,111659,1566,4990,54272,1363,45517,505,54278,106854,113555,6377,64249,52287,8,95875,72692,5804,44966
165,2805,4184,5802,26101,26346,117572,6944,88166,103515,87260,108046,3099,130066,6209,700,100485,106214,85175,4859,5825,8809
166,2806,131122,98217,626,111266,447,4631,95705,158,117527,79590,86785,68244,117572,130066,8741,2565,81788,5188,60568,86513
167,2807,5094,76130,76718,87785,72505,405,77896,5985,6882,50641,86785,103253,84613,78467,96131,129432,1599,99260,127323,1523
168,2808,111946,70817,2123,95875,4200,69136,99600,66352,7193,5094,2916,85770,5692,7752,101640,59016,4853,100579,4990,91766
169,2810,95705,58452,6940,96401,230,26346,130066,86277,110765,129784,5685,422,53133,107370,86815,112066,121831,131122,117527,114453
170,2812,61695,8593,4441,112171,44582,6322,112911,80797,70064,6812,87975,111946,95945,8812,4764,25788,2976,99728,88028,4853
171,2815,86316,81398,6318,76291,129435,88028,117478,53841,111587,111329,114128,45134,66352,76238,95705,5170,112640,4473,82641,5802
172,2816,2815,432,102804,85770,95705,127264,6311,2817,7163,91766,4521,3197,96227,71057,102125,112404,1396,83337,5493,5803
173,2817,6838,2816,108046,44582,88028,47446,4441,8900,4553,69821,2440,127001,109359,69748,90916,6209,58452,70817,8729,104243
174,2818,88028,5170,127264,70817,108046,111946,82641,5692,66352,71444,111318,6209,78557,106460,129348,78620,460,50923,95510,4441
175,2819,85770,454,62526,933,5418,1216,5966,2123,3505,102125,130356,2413,95705,114945,95064,76238,7001,59315,91766,7193
176,2820,113472,2767,118101,130970,6485,6994,1002,165,90704,118105,1749,3035,67135,2396,6345,6481,8827,829,4167,1332
177,2822,7220,114945,108046,626,5221,3259,44255,112640,6838,119,74426,5106,81788,77896,8694,4162,3505,110765,3584,95875
178,2826,6447,77896,5094,5040,45531,4643,86815,8782,47918,23,92264,50003,73804,6316,564,88177,1216,880,89222,6099
179,2827,89016,88028,96227,8705,60941,447,98217,85440,117572,95705,7220,83337,43899,5966,5518,97823,8812,95600,110535,117527
180,2828,80779,77896,116600,86785,126184,106214,2149,8679,117572,6546,128171,126588,47918,60106,123,57482,88065,1071,50641,85861
181,2829,129348,117752,117572,50641,60827,89016,109177,5802,117527,4579,2943,108156,88028,116539,80779,116859,119950,5985,82631,26119
182,2835,111259,112138,58452,88468,112640,81621,6929,90561,5071,67298,109764,103010,6838,697,6931,1739,98607,109359,8812,70305
183,2836,53406,5221,5802,26191,73117,80947,88672,5611,121451,3605,2893,49035,5128,69429,131060,78557,74547,130850,1807,4184
184,2840,111659,1907,98239,1978,115565,6889,364,86815,95875,81516,1566,99721,85770,87975,4472,5944,8815,5145,8848,1409
185,2841,66866,4472,107445,1987,76303,3004,8741,4546,95705,117065,5966,26493,7413,54262,131060,80295,84150,128634,77682,5065
186,2843,91805,6202,71688,106214,83920,117572,98217,90478,60411,110116,69448,93939,108046,6696,2123,59922,85403,64784,90777,131250
187,2844,26334,7583,1287,3035,79238,47918,6729,86750,118756,1232,49752,56607,47054,26611,26245,1069,4210,69118,8679,72703
188,2846,83264,47868,313,88468,45517,6377,588,127001,111329,73117,55856,48414,26448,201,119126,67667,80924,74450,128622,2687
189,2847,117752,60827,6546,47918,1071,69729,3951,106214,1216,120518,79929,8679,100103,116600,109177,3045,112477,8933,66053,7808
190,2848,44100,115973,5889,1224,77143,26497,3469,1611,112905,99613,78490,8693,428,1366,1151,8790,26147,46634,915,7249
191,2849,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1
192,2852,128301,1580,47306,129814,4750,77364,2941,8781,87975,3259,4808,104312,6755,47907,110673,8693,473,4853,117750,114795
193,2853,115556,99539,3992,96569,81788,1987,335,131122,84090,8870,88382,109173,4162,7316,109359,115998,60289,130964,76091,95558
194,2854,53161,54171,6940,83158,115531,93504,99238,99721,95926,104552,98797,117752,915,68244,43971,121055,53131,93952,116895,695
195,2856,98162,108156,81142,76063,95705,89016,90960,31026,5161,116539,5071,81138,78097,115556,80295,1006,124657,6259,4162,97823
196,2857,87446,1566,6889,588,783,45517,104076,4990,1907,85770,5218,1282,4886,88356,95167,111659,595,131080,4853,84637
197,2858,106785,4579,97823,60411,83337,98938,8812,82641,43899,88672,80779,4892,91795,95705,59922,131060,1749,106214,320,25746
198,2859,1117,86316,7220,3778,5802,26448,460,87761,88028,80337,915,4441,5729,87059,117586,88061,26714,78715,60106,454
199,2860,96302,122859,112946,88028,118274,2472,65277,99857,43899,64900,97285,6560,128249,4441,2947,76173,90603,129937,108156,3672
200,2861,73117,106214,86671,26101,49035,48833,7032,88061,31026,109359,3481,96569,98400,5161,5518,356,4631,7752,4503,5485
201,2862,106214,4259,8812,26346,8541,5611,347,121300,1940,8809,120621,110968,78557,4503,8579,1006,1216,89896,80570,5221
202,2863,4515,6125,45517,111632,107445,2857,939,1031,26148,63859,6245,4016,3778,70157,2470,1585,2946,74541,25897,57692
203,2864,117527,129784,26346,117586,110535,131122,26108,447,130066,89016,5518,96401,26707,5685,88382,2943,117572,95705,100275,915
204,2866,1907,45517,2687,87446,6889,783,1566,1282,588,47165,86815,4958,48,3347,709,79224,1,85894,364,84637
205,2867,129348,2149,5170,50641,47918,4579,5094,108156,117752,101952,100882,117572,105865,112477,5985,88065,86785,7287,25890,106214
206,2868,88028,71688,74547,26346,79590,70366,128578,117527,635,54826,103420,61467,5408,5518,60941,89016,5802,83558,96227,26191
207,2870,7249,539,117065,108787,72340,92182,26147,8693,93210,26191,53161,87964,84637,6154,564,117752,116903,1286,64900,1896
208,2871,58452,125271,107028,77896,44763,107445,52806,119,44155,4337,101952,6101,107,68288,85056,1006,96131,108787,89753,4853
209,2872,82641,3895,1006,112640,95510,60106,5692,109364,110673,83558,6764,59315,65603,26191,99014,5221,121300,117586,73117,69748
210,2874,98217,8694,130066,58452,626,447,7220,88468,26108,108499,5802,26221,131122,55106,113073,8705,5685,130520,84047,6788
211,2875,626,109359,5966,82235,108046,3259,542,3798,8741,4853,131122,6154,86815,98217,3584,78461,1907,77682,102469,106064
212,2876,104076,7380,1881,2123,96405,588,3612,595,101962,4016,88356,837,5159,45517,126749,116217,111659,51632,1022,5667
213,2877,45517,1907,6889,96069,2394,4886,131080,5375,3481,3496,4016,72737,564,117358,97913,25937,122100,6245,84047,3074
214,2879,61695,88065,6546,1429,68153,108775,3137,6882,47918,92264,6812,103420,94777,102178,5252,45531,100882,98499,6531,3259
215,2880,111659,4990,45517,86298,95875,4162,6889,112640,95705,104076,96069,239,86815,5761,564,1566,1907,84637,59315,119
216,2881,88028,117586,915,26346,230,422,5518,3102,117527,2906,110627,447,116913,95705,130066,74547,70128,126510,110673,125884
